id_aluno,ano_ref,fase,fase_original,flag_fase_9,idade,idade_original,flag_idade_padronizada,genero_original,genero,ano_ingresso,instituicao_original,instituicao_tipo,instituicao_subtipo,flag_bolsa_parceria,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,fase_ideal,defasagem,matematica,portugues,ingles,flag_sem_avaliacao,fase_nome,delta_ida,delta_ieg,delta_inde,delta_ian,queda_ida,queda_ieg,queda_inde,ips_anterior,ida_anterior,ieg_anterior,perfil_defasagem,delta_ida_futuro,delta_ieg_futuro,delta_defasagem_futuro,risco_defasagem_futuro,tem_futuro
1,2022,7,7,0,19,19.0,0,Menina,Feminino,2016,Escola Pública,publica,sem_subtipo,0,Quartzo,5.783,8.3,4.1,5.6,,4.0,7.278,5.0,Fase 8 (Universitários),-1,2.7,3.5,6.0,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
1,2023,8,FASE 8,0,20,,1,Feminino,Feminino,2016,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,5.6,4.0,4.1,Adequado,,,0.0,0,True
1,2024,8,8E,0,21,21.0,0,Feminino,Feminino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
2,2022,7,7,0,17,17.0,0,Menina,Feminino,2017,Rede Decisão,privada,sem_subtipo,0,Ametista,7.055,8.8,5.2,6.3,,6.8,6.778,10.0,Fase 7 (3º EM),0,6.3,4.5,9.7,0,Fase 7,,,,,0,0,0,,,,Adequado,,,0.0,0,True
2,2023,8,FASE 8,0,18,18.0,0,Feminino,Feminino,2017,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,6.3,6.8,5.2,Adequado,,,0.0,0,True
2,2024,8,8E,0,19,19.0,0,Feminino,Feminino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
3,2022,7,7,0,17,17.0,0,Menina,Feminino,2016,Rede Decisão,privada,sem_subtipo,0,Ágata,6.591,0.0,7.9,5.6,,5.6,7.556,10.0,Fase 7 (3º EM),0,5.8,4.0,6.9,0,Fase 7,,,,,0,0,0,,,,Adequado,,,,,False
4,2022,7,7,0,17,17.0,0,Menino,Masculino,2017,Rede Decisão,privada,sem_subtipo,0,Quartzo,5.951,8.8,4.5,5.6,,5.0,5.278,10.0,Fase 7 (3º EM),0,2.8,3.5,8.7,0,Fase 7,,,,,0,0,0,,,,Adequado,,,,,False
5,2022,7,7,0,17,17.0,0,Menina,Feminino,2016,Rede Decisão,privada,sem_subtipo,0,Ametista,7.427,7.9,8.6,5.6,,5.2,7.389,10.0,Fase 7 (3º EM),0,7.0,2.9,5.7,0,Fase 7,,,,,0,0,0,,,,Adequado,,,0.0,0,True
5,2023,8,FASE 8,0,18,,1,Feminino,Feminino,2016,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,5.6,5.2,8.6,Adequado,,,,,False
6,2022,7,7,0,18,18.0,0,Menina,Feminino,2021,Escola Pública,publica,sem_subtipo,0,Quartzo,5.848,7.9,4.5,7.5,,3.3,7.222,5.0,Fase 8 (Universitários),-1,2.3,5.3,2.3,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
6,2023,8,FASE 8,0,19,,1,Feminino,Feminino,2021,Privada - Pagamento por *Empresa Parceira,privada,empresa_parceira,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,7.5,3.3,4.5,Adequado,,,0.0,0,True
6,2024,8,8E,0,20,20.0,0,Feminino,Feminino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
7,2022,7,7,0,18,18.0,0,Menino,Masculino,2017,Rede Decisão,privada,sem_subtipo,0,Ágata,6.818,0.0,8.4,7.5,,7.6,7.667,5.0,Fase 8 (Universitários),-1,8.2,5.7,9.0,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
7,2023,8,FASE 8,0,19,,1,Masculino,Masculino,2017,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,7.5,7.6,8.4,Adequado,,,0.0,0,True
7,2024,8,8E,0,20,20.0,0,Masculino,Masculino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
8,2022,7,7,0,20,20.0,0,Menina,Feminino,2018,Escola Pública,publica,sem_subtipo,0,Quartzo,4.786,7.1,4.6,6.3,,1.6,6.278,5.0,Fase 8 (Universitários),-1,1.2,0.7,2.9,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,,,False
9,2022,7,7,0,18,18.0,0,Menina,Feminino,2019,Escola Pública,publica,sem_subtipo,0,Topázio,8.109,8.8,9.5,7.5,,6.7,9.5,5.0,Fase 8 (Universitários),-1,5.5,6.0,8.7,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,,,False
10,2022,7,7,0,18,18.0,0,Menina,Feminino,2021,Escola Pública,publica,sem_subtipo,0,Quartzo,5.784,8.3,5.2,5.0,,4.1,7.056,5.0,Fase 8 (Universitários),-1,3.3,2.6,6.4,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,,,False
11,2022,7,7,0,18,18.0,0,Menina,Feminino,2016,Escola Pública,publica,sem_subtipo,0,Quartzo,5.323,9.2,4.2,5.0,,3.0,6.389,5.0,Fase 8 (Universitários),-1,1.8,2.5,4.5,0,Fase 7,,,,,0,0,0,,,,Defasagem leve,,,,,False
