id_aluno,ano_ref,fase,idade,defasagem,ida,ieg,iaa,ips,ipp,ipv,ian,matematica,portugues,ingles,risco_defasagem_futuro
1,2022,7,19,-1,4.0,4.1,8.3,5.6,,7.278,5.0,2.7,3.5,6.0,0
1,2023,8,20,0,,,,,,,10.0,,,,0
2,2022,7,17,0,6.8,5.2,8.8,6.3,,6.778,10.0,6.3,4.5,9.7,0
2,2023,8,18,0,,,,,,,10.0,,,,0
3,2022,7,17,0,5.6,7.9,0.0,5.6,,7.556,10.0,5.8,4.0,6.9,1
4,2022,7,17,0,5.0,4.5,8.8,5.6,,5.278,10.0,2.8,3.5,8.7,1
5,2022,7,17,0,5.2,8.6,7.9,5.6,,7.389,10.0,7.0,2.9,5.7,0
5,2023,8,18,0,,,,,,,10.0,,,,1
6,2022,7,18,-1,3.3,4.5,7.9,7.5,,7.222,5.0,2.3,5.3,2.3,0
6,2023,8,19,0,,,,,,,10.0,,,,0
7,2022,7,18,-1,7.6,8.4,0.0,7.5,,7.667,5.0,8.2,5.7,9.0,0
7,2023,8,19,0,,,,,,,10.0,,,,0
8,2022,7,20,-1,1.6,4.6,7.1,6.3,,6.278,5.0,1.2,0.7,2.9,1
9,2022,7,18,-1,6.7,9.5,8.8,7.5,,9.5,5.0,5.5,6.0,8.7,1
10,2022,7,18,-1,4.1,5.2,8.3,5.0,,7.056,5.0,3.3,2.6,6.4,1
11,2022,7,18,-1,3.0,4.2,9.2,5.0,,6.389,5.0,1.8,2.5,4.5,1
12,2022,7,17,0,1.5,4.0,0.0,6.9,,6.389,10.0,2.7,1.1,0.7,0
12,2023,8,18,0,,,,,,,10.0,,,,0
13,2022,7,18,-1,4.7,7.4,7.9,7.5,,8.056,5.0,3.5,5.5,5.2,0
13,2023,8,19,0,,,,,,,10.0,,,,0
14,2022,7,21,-1,4.0,8.3,7.9,7.5,,7.75,5.0,8.0,0.0,,0
14,2023,8,22,0,,,,,,,10.0,,,,0
15,2022,7,18,-1,7.3,10.0,8.8,7.5,,7.292,5.0,8.0,6.5,,1
16,2022,7,19,-1,3.5,8.3,7.9,5.0,,6.333,5.0,7.0,0.0,,1
17,2022,7,20,-1,7.8,10.0,8.8,7.5,,8.292,5.0,9.0,6.5,,0
17,2023,8,21,0,,,,,,,10.0,,,,0
18,2022,7,19,-1,9.0,8.7,6.3,6.3,,6.875,5.0,9.0,9.0,,1
19,2022,7,19,-1,8.0,9.5,7.9,7.5,,7.0,5.0,7.0,9.0,,1
19,2023,7,20,-1,7.8,9.4,7.9,5.63,7.75,8.1725,5.0,7.7,7.0,8.8,1
20,2022,7,19,-1,7.8,10.0,7.1,6.3,,7.167,5.0,9.0,6.5,,1
21,2022,7,18,-1,3.8,9.2,9.6,7.5,,7.25,5.0,7.0,0.5,,0
21,2023,8,19,0,,,,,,,10.0,,,,0
22,2022,6,17,-1,6.7,7.4,8.3,8.1,,8.833,5.0,9.0,3.1,7.8,1
23,2022,6,17,-1,6.7,8.2,8.3,8.1,,8.556,5.0,7.2,4.7,8.2,0
23,2023,8,18,1,,,,,,,10.0,,,,1
24,2022,6,17,-1,8.6,7.9,9.2,6.9,,9.111,5.0,10.0,6.3,9.7,1
25,2022,6,17,-1,6.9,8.3,8.3,8.8,,9.667,5.0,9.2,3.8,7.7,0
25,2023,8,18,0,,,,,,,10.0,,,,0
26,2022,6,17,-1,8.0,8.8,9.6,10.0,,10.0,5.0,9.5,4.4,10.0,0
26,2023,7,18,-1,,,0.0,7.52,,,5.0,,,,0
27,2022,6,17,-1,8.0,7.6,0.0,8.1,,9.111,5.0,7.7,6.3,10.0,1
27,2023,7,17,0,6.9,7.7,6.7,6.89,8.625,8.8825,10.0,7.0,5.8,8.0,1
28,2022,6,17,-1,5.0,6.1,7.9,7.5,,6.333,5.0,8.2,1.5,5.3,1
29,2022,6,17,-1,3.7,4.0,0.0,8.8,,7.611,5.0,6.3,1.1,3.8,0
29,2023,8,18,0,,,,,,,10.0,,,,0
30,2022,6,16,0,7.5,6.4,8.8,7.5,,7.333,10.0,8.5,4.4,9.7,1
31,2022,6,17,-1,8.0,9.5,10.0,9.4,,10.0,5.0,9.0,5.7,9.3,0
31,2023,8,18,0,,,,,,,10.0,,,,0
32,2022,6,16,0,6.1,5.2,8.8,8.8,,7.944,10.0,5.7,3.6,8.9,0
32,2023,7,17,0,7.9,8.2,0.0,3.77,7.375,6.8775,10.0,9.0,5.8,9.0,1
33,2022,6,17,-1,4.8,4.6,0.0,7.5,,6.0,5.0,9.0,1.6,3.7,1
34,2022,6,17,-1,3.8,4.8,9.6,8.1,,7.278,5.0,4.7,4.0,2.8,0
34,2023,8,18,0,,,,,,,10.0,,,,1
35,2022,6,17,-1,8.5,9.6,10.0,9.4,,10.0,5.0,9.0,7.1,9.3,0
35,2023,8,18,0,,,,,,,10.0,,,,0
36,2022,6,17,-1,6.8,9.0,9.2,6.9,,8.944,5.0,8.5,4.3,7.8,0
36,2023,8,18,0,,,,,,,10.0,,,,0
37,2022,6,17,-1,5.9,5.4,0.0,5.0,,5.222,5.0,2.3,5.3,10.0,1
38,2022,6,17,-1,8.6,8.9,9.2,7.5,,9.833,5.0,9.0,7.0,9.7,1
